DATAFLOW,LAST UPDATE,freq,waste,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2000,86.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2001,81.4,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2002,80,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2003,81.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2004,83.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2005,86.4,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2006,87,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2007,83.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2008,85.4,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2009,84.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2010,84.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2011,84.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2012,84.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2013,84.3,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2014,84.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2015,84.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2016,84.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2017,83.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,AT,2018,84.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2000,82.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2001,85.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2002,78.4,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2003,79.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2004,83.4,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2005,83.3,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2006,89.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2007,92,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2008,89.4,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2009,88,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2010,89.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2011,90.4,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2012,89.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2013,89.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2014,90.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2015,90.7,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2016,89.4,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2017,92.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BE,2018,95.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BG,2005,81.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BG,2006,51.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BG,2007,97.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BG,2008,84.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BG,2009,67.3,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BG,2010,81.9,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BG,2011,98.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BG,2012,94.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BG,2013,88.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BG,2014,70.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,BG,2015,78.7,
